hash_inn,y
130273,8
205011,12
27440,34
34209,12
260191,12
93892,8
7607,12
156766,12
98648,4
162395,12
11684,12
86932,12
244309,12
236906,12
227314,12
32242,34
208124,34
136670,16
131786,12
250410,11
159681,52
29748,12
78761,12
192321,12
257128,14
12855,12
152152,34
133081,4
51099,57
146918,12
46174,34
184124,9
84768,12
69155,12
84816,12
39335,34
183380,12
53171,4
168010,12
247247,4
154675,9
50745,12
12349,4
86785,18
241595,12
83687,34
33424,12
185155,4
104317,14
221720,12
23072,18
25271,12
249104,34
71434,34
38046,4
126615,12
258008,8
81383,34
131897,46
145349,12
128906,52
104238,12
52703,34
92914,14
168276,12
45961,14
122027,34
11800,14
94800,6
162856,12
244071,12
130914,12
100583,12
94841,14
110414,12
12453,12
203805,14
40864,30
19288,14
48573,12
43744,12
160714,12
30321,12
120393,12
132557,4
145160,12
14082,14
184174,34
78820,12
200445,12
80191,12
257681,26
129722,18
104877,14
217392,12
144620,11
207731,52
86578,12
188339,12
152493,12
100691,12
198285,4
113623,12
208770,12
43522,12
79774,12
105243,20
159692,12
31765,6
123602,14
145337,32
71213,12
42664,4
122195,14
211290,12
169761,39
46175,12
203215,4
207343,14
28907,14
54821,14
187582,52
134719,12
145920,34
88797,14
160526,11
109894,14
102984,12
181905,12
36555,34
126699,4
94084,12
180469,12
73226,7
40292,34
193815,12
144960,12
224995,12
112711,12
27008,12
119148,34
176307,12
60588,12
114692,4
32537,12
27006,14
31097,12
30975,12
117517,34
119223,34
5436,8
60255,12
45793,52
141887,18
55308,14
158670,12
198889,34
160555,14
170469,14
107743,45
180101,12
90644,4
29365,12
28481,12
128077,34
129754,12
109513,14
61261,14
10958,12
251918,34
104413,26
125069,12
18342,12
51062,12
11019,12
209356,12
7419,39
59989,12
51266,34
233845,12
244722,12
184310,34
248149,12
225158,12
240814,12
178584,12
21315,12
258259,12
60666,12
110094,12
74320,12
187284,14
169420,12
144738,29
131686,12
227377,12
234543,12
124780,34
239,12
91018,14
86402,12
170887,14
211512,12
226935,12
108396,14
21717,12
5578,14
108069,12
202912,4
87034,12
241058,4
222434,4
255585,12
175671,12
54646,4
26251,12
140345,12
30237,12
136513,12
212159,39
246887,6
129528,14
176503,12
105250,12
16934,52
110485,12
128909,12
260039,52
243845,12
65220,4
58471,11
133904,12
217535,12
250537,14
146410,12
146294,14
177730,14
85170,14
59187,12
199354,3
56675,62
3610,12
173905,12
144972,12
126891,12
209209,12
214256,8
22800,12
191010,12
252801,15
119125,34
59652,12
249203,34
228222,8
249216,12
46022,12
118631,12
184262,12
68506,12
39260,12
146579,12
221757,4
13237,12
11366,12
158252,8
171232,12
91331,4
60230,12
219995,12
4214,12
164685,12
213498,4
55423,12
150869,12
245869,12
148701,12
221717,12
31904,12
58677,8
257372,11
165613,11
259177,12
199669,12
75451,12
199583,4
228749,12
197030,4
135504,12
170361,12
211051,12
223695,34
83428,12
94960,12
37318,12
93969,12
33165,34
99154,34
172344,12
18483,12
99500,12
141812,12
114446,12
221083,12
93044,12
228723,12
3380,12
246214,12
47235,12
21850,26
166324,4
126708,12
114445,0
212994,12
205821,12
258088,12
181777,12
252708,12
123502,12
73735,12
86336,34
241493,12
191085,12
190567,4
190856,12
146132,12
6395,12
199589,12
27139,12
226961,12
17402,12
84387,12
98585,76
211570,12
182338,12
28596,12
213879,14
176293,12
13811,12
139466,12
194757,12
245009,12
248745,12
258316,12
210269,12
159312,12
165410,12
236572,52
231623,12
56372,12
159278,12
89627,12
168322,12
20994,12
43008,12
208189,8
207287,12
23013,12
75809,12
154963,12
139669,12
85191,12
112298,12
208290,12
51218,12
60442,12
87350,12
112105,12
172629,12
138993,12
143491,12
97100,12
202236,12
23326,12
155279,12
82389,12
124285,12
197540,12
118900,12
9214,12
177652,12
145983,12
255370,8
245728,12
44083,12
43175,12
231300,12
231155,12
186019,12
204218,8
205523,12
77880,8
255802,12
242758,61
104710,4
4003,12
86292,4
79261,12
181275,12
90084,12
244234,4
118278,12
236023,52
241834,11
163350,12
191259,12
196542,12
124125,12
253112,11
189787,34
63533,12
12154,14
237188,12
46802,12
165185,12
200148,34
240849,6
66985,12
25902,12
16141,12
86048,12
232431,34
200234,11
61607,14
170098,14
74104,12
101039,38
109553,34
19665,12
196389,12
142108,12
215264,12
84597,14
221511,12
67249,4
233981,34
231781,48
223380,52
64859,4
64043,12
2682,55
88672,12
195702,34
8009,14
240913,14
142610,67
231477,12
172690,4
125229,12
227584,4
138763,12
152565,12
124009,12
127809,12
164680,12
199875,52
223427,12
256095,12
204191,8
131880,12
88879,12
198310,12
220043,12
117545,40
241867,12
70504,12
125457,34
50761,14
188838,14
106993,12
33683,12
128327,12
189291,12
105201,12
134462,12
232866,12
147655,12
186508,12
49731,12
257085,12
104695,26
132809,12
42436,34
37007,12
33094,14
37412,12
76145,12
256676,12
89823,6
55995,34
17129,12
122784,12
160659,12
